name,playcount,listeners,mbid,url,streamable
Kaiser Chiefs,52096313,2352529,90218af4-4d58-4821-8d41-2ee295ebbe21,https://www.last.fm/music/Kaiser+Chiefs,0
The Chemical Brothers,64530271,2352476,1946a82a-f927-40c2-8235-38d64f50d043,https://www.last.fm/music/The+Chemical+Brothers,0
Bruce Springsteen,88706609,2348298,70248960-cb53-4ea4-943a-edb18f7d336f,https://www.last.fm/music/Bruce+Springsteen,0
Björk,127029449,2342176,87c5dedd-371d-4a53-9f7f-80522fb7f3cb,https://www.last.fm/music/Bj%C3%B6rk,0
Flo Rida,35205331,2338893,4593d49a-7f67-46ba-9ec0-126bd676286f,https://www.last.fm/music/Flo+Rida,0
The Black Keys,140281905,2333285,d15721d8-56b4-453d-b506-fc915b14cba2,https://www.last.fm/music/The+Black+Keys,0
Lily Allen,73852732,2328286,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0
The Prodigy,105061613,2324907,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0
Audioslave,58520441,2319113,020bfbb4-05c3-4c86-b372-17825c262094,https://www.last.fm/music/Audioslave,0
Nine Inch Nails,192722701,2316946,b7ffd2af-418f-4be2-bdd1-22f8b48613da,https://www.last.fm/music/Nine+Inch+Nails,0
Dire Straits,62196521,2302694,614e3804-7d34-41ba-857f-811bad7c2b7a,https://www.last.fm/music/Dire+Straits,0
Jennifer Lopez,39030292,2282508,f0602f55-1770-483d-89bd-4bae0d0ac086,https://www.last.fm/music/Jennifer+Lopez,0
Eagles,39766977,2277375,f46bd570-5768-462e-b84c-c7c993bbf47e,https://www.last.fm/music/Eagles,0
Lana Del Rey,297916396,2276735,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,0
The Notorious B.I.G.,46762006,2273711,d5d97b2b-b83b-4976-814a-056d9076c8c3,https://www.last.fm/music/The+Notorious+B.I.G.,0
The Kinks,56369281,2268941,f53888c9-8bdc-4cc3-b2ab-ddab6bc5afb7,https://www.last.fm/music/The+Kinks,0
Deep Purple,57097454,2250805,79491354-3d83-40e3-9d8e-7592d58d790a,https://www.last.fm/music/Deep+Purple,0
Air,92597193,2245515,ef3f5cea-b32e-4325-b8d4-96ae70a9fc2e,https://www.last.fm/music/Air,0
Jimmy Eat World,74349836,2225948,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0
Iron Maiden,179465228,2224305,ca891d65-d9b0-4258-89f7-e6ba29d83767,https://www.last.fm/music/Iron+Maiden,0
The Pussycat Dolls,32287764,2213115,1fda852b-92e9-4562-82fa-c52820a77b23,https://www.last.fm/music/The+Pussycat+Dolls,0
Pitbull,37224518,2204566,d262ea27-3ffe-40f7-b922-85c42d625e67,https://www.last.fm/music/Pitbull,0
Portishead,89179912,2200630,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,https://www.last.fm/music/Portishead,0
Ellie Goulding,93108645,2200478,33ca19f4-18c8-4411-98df-ac23890ce9f5,https://www.last.fm/music/Ellie+Goulding,0
Sufjan Stevens,146146282,2198049,01d3c51b-9b98-418a-8d8e-37f6fab59d8c,https://www.last.fm/music/Sufjan+Stevens,0
Bon Iver,136266703,2186760,437a0e49-c6ae-42f6-a6c1-84f25ed366bc,https://www.last.fm/music/Bon+Iver,0
The Verve,36828013,2182599,d4d17620-fd97-4574-92a8-a2cb7e72ce42,https://www.last.fm/music/The+Verve,0
Iron & Wine,75572903,2171761,c3f28da8-662d-4f09-bdc7-3084bf685930,https://www.last.fm/music/Iron+&+Wine,0
Norah Jones,70750571,2170892,985c709c-7771-4de3-9024-7bda29ebe3f9,https://www.last.fm/music/Norah+Jones,0
Phoenix,83289613,2170834,ec5bae34-cd8d-47cb-aa66-60bc0fdce77b,https://www.last.fm/music/Phoenix,0
Joy Division,111415480,2169492,9a58fda3-f4ed-4080-a3a5-f457aac9fcdd,https://www.last.fm/music/Joy+Division,0
Bruno Mars,64463717,2164684,afb680f2-b6eb-4cd7-a70b-a63b25c763d5,https://www.last.fm/music/Bruno+Mars,0
Akon,26844988,2155747,1138a764-2212-4d0a-b02d-0dc14df91e08,https://www.last.fm/music/Akon,0
The Velvet Underground,69471318,2152631,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,https://www.last.fm/music/The+Velvet+Underground,0
The Velvet Underground,69435355,2151858,94b0fb9d-a066-4823-b2ec-af1d324bcfcf,https://www.last.fm/music/The+Velvet+Underground,0
No Doubt,44230253,2151588,fbd2a255-1d57-4d31-ac11-65b671c19958,https://www.last.fm/music/No+Doubt,0
Kylie Minogue,85412504,2150518,2fddb92d-24b2-46a5-bf28-3aed46f4684c,https://www.last.fm/music/Kylie+Minogue,0
The Game,31765988,2146273,baec7ed1-32d7-482d-9455-33c403e61952,https://www.last.fm/music/The+Game,0
James Blunt,44844107,2140168,ebee61b4-bbdd-4087-9bcb-d5aa099088ec,https://www.last.fm/music/James+Blunt,0
Rise Against,149492159,2133869,606bf117-494f-4864-891f-09d63ff6aa4b,https://www.last.fm/music/Rise+Against,0
